KWMTBOMO	NCBI Gene ID
KWMTBOMO00121.mrna1.p1	101737320
KWMTBOMO00122.mrna1.p1	101737462
KWMTBOMO00123.mrna1.p1	101737605
KWMTBOMO00124.mrna1.p1	101744726
KWMTBOMO00140.mrna1.p1	101745445
KWMTBOMO00141.mrna1.p1	101738102
KWMTBOMO00143.mrna1.p1	119628779
KWMTBOMO00146.mrna1.p1	101738591
KWMTBOMO00151.mrna1.p1	101739052
KWMTBOMO00152.mrna1.p1	101739198
KWMTBOMO00153.mrna1.p1	101745741
KWMTBOMO00154.mrna1.p1	101739335
KWMTBOMO00155.mrna1.p1	101745886
KWMTBOMO00156.mrna1.p1	100616528
KWMTBOMO00157.mrna1.p1	101746022
KWMTBOMO00160.mrna1.p1	101746595
KWMTBOMO00165.mrna1.p1	101738352
KWMTBOMO00167.mrna1.p1	101738756
KWMTBOMO00170.mrna1.p1	119629158
KWMTBOMO00175.mrna1.p1	119628461
KWMTBOMO00181.mrna1.p1	101742407
KWMTBOMO00184.mrna1.p1	100141467
KWMTBOMO00186.mrna1.p1	100141461
KWMTBOMO00189.mrna1.p1	100141454
KWMTBOMO00192.mrna1.p1	100141466
KWMTBOMO00194.mrna1.p1	101739467
KWMTBOMO00195.mrna1.p1	100141464
KWMTBOMO00198.mrna1.p1	101739607
KWMTBOMO00200.mrna1.p1	100141465
KWMTBOMO00203.mrna1.p1	101743510
KWMTBOMO00204.mrna1.p1	101739748
KWMTBOMO00208.mrna1.p1	101743847
KWMTBOMO00209.mrna1.p1	101744139
KWMTBOMO00210.mrna1.p1	101744278
KWMTBOMO00211.mrna1.p1	101744420
KWMTBOMO00212.mrna1.p1	105842162
KWMTBOMO00214.mrna1.p1	101744860
KWMTBOMO00215.mrna1.p1	101740018
KWMTBOMO00221.mrna1.p1	101740424
KWMTBOMO00224.mrna1.p1	100127103
KWMTBOMO00227.mrna1.p1	101745296
KWMTBOMO00229.mrna1.p1	101740832
KWMTBOMO00231.mrna1.p1	101740977
KWMTBOMO00235.mrna1.p1	101745683
KWMTBOMO00236.mrna1.p1	101745832
KWMTBOMO00237.mrna1.p1	101746062
KWMTBOMO00239.mrna1.p1	101746302
KWMTBOMO00240.mrna1.p1	101741260
KWMTBOMO00241.mrna1.p1	101742576
KWMTBOMO00243.mrna1.p1	101746670
KWMTBOMO00244.mrna1.p1	100270767
KWMTBOMO00247.mrna1.p1	101746809
KWMTBOMO00249.mrna1.p1	101741399
KWMTBOMO00254.mrna1.p1	100146104
KWMTBOMO00256.mrna1.p1	101747219
KWMTBOMO00258.mrna1.p1	101735522
KWMTBOMO00259.mrna1.p1	101735659
KWMTBOMO00260.mrna1.p1	119629212
KWMTBOMO00262.mrna1.p1	101736058
KWMTBOMO00263.mrna1.p1	105842174
KWMTBOMO00264.mrna1.p1	101736195
KWMTBOMO00266.mrna1.p1	101736368
KWMTBOMO00267.mrna1.p1	101736487
KWMTBOMO00268.mrna1.p1	100653512
KWMTBOMO00269.mrna1.p1	101736626
KWMTBOMO00270.mrna1.p1	733047
KWMTBOMO00275.mrna1.p1	101741974
KWMTBOMO00277.mrna1.p1	101737363
KWMTBOMO00278.mrna1.p1	101737505
KWMTBOMO00279.mrna1.p1	101737646
KWMTBOMO00280.mrna1.p1	101737871
KWMTBOMO00281.mrna1.p1	101742555
KWMTBOMO00283.mrna1.p1	101742700
KWMTBOMO00284.mrna1.p1	100187556
KWMTBOMO00289.mrna1.p1	101742848
KWMTBOMO00290.mrna1.p1	101738134
KWMTBOMO00291.mrna1.p1	692898
KWMTBOMO00293.mrna1.p1	101738265
KWMTBOMO00294.mrna1.p1	101738622
KWMTBOMO00298.mrna1.p1	100379330
KWMTBOMO00299.mrna1.p1	101742989
KWMTBOMO00300.mrna1.p1	119628602
KWMTBOMO00302.mrna1.p1	101739139
KWMTBOMO00306.mrna1.p1	101743131
KWMTBOMO00307.mrna1.p1	101739695
KWMTBOMO00308.mrna1.p1	100101213
KWMTBOMO00310.mrna1.p1	101739837
KWMTBOMO00311.mrna1.p1	101740106
KWMTBOMO00312.mrna1.p1	101739975
KWMTBOMO00313.mrna1.p1	101740242
KWMTBOMO00314.mrna1.p1	101743416
KWMTBOMO00315.mrna1.p1	101740377
KWMTBOMO00316.mrna1.p1	101740601
KWMTBOMO00317.mrna1.p1	101740738
KWMTBOMO00318.mrna1.p1	101740877
KWMTBOMO00323.mrna1.p1	101743697
KWMTBOMO00326.mrna1.p1	101743848
KWMTBOMO00329.mrna1.p1	101744140
KWMTBOMO00330.mrna1.p1	101744279
KWMTBOMO00334.mrna1.p1	101741823
KWMTBOMO00335.mrna1.p1	101742068
KWMTBOMO00338.mrna1.p1	101744714
KWMTBOMO00341.mrna1.p1	101742649
KWMTBOMO00343.mrna1.p1	119628621
KWMTBOMO00344.mrna1.p1	101745147
KWMTBOMO00346.mrna1.p1	101742897
KWMTBOMO00352.mrna1.p1	101743555
KWMTBOMO00353.mrna1.p1	101745437
KWMTBOMO00354.mrna1.p1	692496
KWMTBOMO00361.mrna1.p1	101743792
KWMTBOMO00363.mrna1.p1	101745877
KWMTBOMO00364.mrna1.p1	101746015
KWMTBOMO00366.mrna1.p1	101745047
KWMTBOMO00369.mrna1.p1	101745488
KWMTBOMO00370.mrna1.p1	101745729
KWMTBOMO00373.mrna1.p1	101746014
KWMTBOMO00374.mrna1.p1	101746723
KWMTBOMO00375.mrna1.p1	101746258
KWMTBOMO00379.mrna1.p1	693070
KWMTBOMO00380.mrna1.p1	732961
KWMTBOMO00387.mrna1.p1	101746581
KWMTBOMO00388.mrna1.p1	101735340
KWMTBOMO00389.mrna1.p1	101746722
KWMTBOMO00390.mrna1.p1	101746861
KWMTBOMO00391.mrna1.p1	693110
KWMTBOMO00392.mrna1.p1	101747133
KWMTBOMO00393.mrna1.p1	101746997
KWMTBOMO00394.mrna1.p1	101735479
KWMTBOMO00396.mrna1.p1	101735430
KWMTBOMO00397.mrna1.p1	101735703
KWMTBOMO00400.mrna1.p1	101735755
KWMTBOMO00401.mrna1.p1	101735887
KWMTBOMO00402.mrna1.p1	101736015
KWMTBOMO00403.mrna1.p1	101736151
KWMTBOMO00404.mrna1.p1	101736287
KWMTBOMO00406.mrna1.p1	101736103
KWMTBOMO00407.mrna1.p1	101736416
KWMTBOMO00408.mrna1.p1	101736542
KWMTBOMO00409.mrna1.p1	101736369
KWMTBOMO00410.mrna1.p1	101736488
KWMTBOMO00411.mrna1.p1	101736677
KWMTBOMO00412.mrna1.p1	101736942
KWMTBOMO00414.mrna1.p1	119629039
KWMTBOMO00422.mrna1.p1	100192380
KWMTBOMO00425.mrna1.p1	101737163
KWMTBOMO00426.mrna1.p1	692522
KWMTBOMO00435.mrna1.p1	101737506
KWMTBOMO00437.mrna1.p1	101737828
KWMTBOMO00438.mrna1.p1	101737959
KWMTBOMO00439.mrna1.p1	101737920
KWMTBOMO00443.mrna1.p1	101738052
KWMTBOMO00444.mrna1.p1	101738179
KWMTBOMO00447.mrna1.p1	101738304
KWMTBOMO00452.mrna1.p1	105842991
KWMTBOMO00458.mrna1.p1	100852390
KWMTBOMO00459.mrna1.p1	105841766
KWMTBOMO00460.mrna1.p1	101737109
KWMTBOMO00463.mrna1.p1	101736715
KWMTBOMO00465.mrna1.p1	101736095
KWMTBOMO00473.mrna1.p1	733113
KWMTBOMO00474.mrna1.p1	101739895
KWMTBOMO00476.mrna1.p1	101740160
KWMTBOMO00478.mrna1.p1	101742079
KWMTBOMO00486.mrna1.p1	101742319
KWMTBOMO00491.mrna1.p1	101742611
KWMTBOMO00492.mrna1.p1	101737612
KWMTBOMO00494.mrna1.p1	101740991
KWMTBOMO00495.mrna1.p1	101740431
KWMTBOMO00497.mrna1.p1	101743755
KWMTBOMO00498.mrna1.p1	101743521
KWMTBOMO00499.mrna1.p1	105842703
KWMTBOMO00502.mrna1.p1	101744006
KWMTBOMO00503.mrna1.p1	101740699
KWMTBOMO00505.mrna1.p1	101744245
KWMTBOMO00506.mrna1.p1	101744484
KWMTBOMO00508.mrna1.p1	101740985
KWMTBOMO00510.mrna1.p1	110386423
KWMTBOMO00511.mrna1.p1	101741127
KWMTBOMO00512.mrna1.p1	101744872
KWMTBOMO00513.mrna1.p1	101744727
KWMTBOMO00516.mrna1.p1	101741411
KWMTBOMO00518.mrna1.p1	101741693
KWMTBOMO00520.mrna1.p1	101745353
KWMTBOMO00521.mrna1.p1	101745497
KWMTBOMO00522.mrna1.p1	105842568
KWMTBOMO00526.mrna1.p1	101745930
KWMTBOMO00527.mrna1.p1	693096
KWMTBOMO00528.mrna1.p1	101741990
KWMTBOMO00530.mrna1.p1	101746219
KWMTBOMO00531.mrna1.p1	101746877
KWMTBOMO00534.mrna1.p1	100174850
KWMTBOMO00536.mrna1.p1	101742423
KWMTBOMO00538.mrna1.p1	101742709
KWMTBOMO00539.mrna1.p1	101743001
KWMTBOMO00540.mrna1.p1	101743144
KWMTBOMO00542.mrna1.p1	101735439
KWMTBOMO00545.mrna1.p1	100124423
KWMTBOMO00551.mrna1.p1	101736424
KWMTBOMO00555.mrna1.p1	101736736
KWMTBOMO00556.mrna1.p1	101736863
KWMTBOMO00566.mrna1.p1	101737229
KWMTBOMO00568.mrna1.p1	101744151
KWMTBOMO00580.mrna1.p1	101738019
KWMTBOMO00581.mrna1.p1	101738235
KWMTBOMO00582.mrna1.p1	101745161
KWMTBOMO00583.mrna1.p1	119629023
KWMTBOMO00584.mrna1.p1	101738367
KWMTBOMO00585.mrna1.p1	101745307
KWMTBOMO00587.mrna1.p1	101738771
KWMTBOMO00591.mrna1.p1	101739199
KWMTBOMO00593.mrna1.p1	101745591
KWMTBOMO00594.mrna1.p1	101745743
KWMTBOMO00595.mrna1.p1	101745591
KWMTBOMO00599.mrna1.p1	101746024
KWMTBOMO00608.mrna1.p1	105841445
KWMTBOMO00620.mrna1.p1	101744744
KWMTBOMO00621.mrna1.p1	101744602
KWMTBOMO00622.mrna1.p1	105841444
KWMTBOMO00623.mrna1.p1	101746325
KWMTBOMO00627.mrna1.p1	101744218
KWMTBOMO00636.mrna1.p1	105841453
KWMTBOMO00640.mrna1.p1	101743586
KWMTBOMO00644.mrna1.p1	100862785
KWMTBOMO00646.mrna1.p1	101743217
KWMTBOMO00650.mrna1.p1	101742825
KWMTBOMO00651.mrna1.p1	100862786
KWMTBOMO00652.mrna1.p1	101745607
KWMTBOMO00655.mrna1.p1	100101168
KWMTBOMO00657.mrna1.p1	101742534
KWMTBOMO00661.mrna1.p1	101741858
KWMTBOMO00664.mrna1.p1	101745324
KWMTBOMO00670.mrna1.p1	101742726
KWMTBOMO00671.mrna1.p1	110385005
KWMTBOMO00677.mrna1.p1	101742491
KWMTBOMO00678.mrna1.p1	101746894
KWMTBOMO00681.mrna1.p1	101742200
KWMTBOMO00682.mrna1.p1	101746751
KWMTBOMO00684.mrna1.p1	101746611
KWMTBOMO00687.mrna1.p1	101741801
KWMTBOMO00688.mrna1.p1	101741660
KWMTBOMO00689.mrna1.p1	101741519
KWMTBOMO00695.mrna1.p1	101746182
KWMTBOMO00698.mrna1.p1	105841470
KWMTBOMO00703.mrna1.p1	101746039
KWMTBOMO00704.mrna1.p1	101740674
KWMTBOMO00706.mrna1.p1	101740538
KWMTBOMO00707.mrna1.p1	101740401
KWMTBOMO00708.mrna1.p1	101745756
KWMTBOMO00709.mrna1.p1	101745608
KWMTBOMO00710.mrna1.p1	100101204
KWMTBOMO00711.mrna1.p1	101740183
KWMTBOMO00713.mrna1.p1	101740050
KWMTBOMO00714.mrna1.p1	101745466
KWMTBOMO00716.mrna1.p1	101745325
KWMTBOMO00717.mrna1.p1	105841465
KWMTBOMO00719.mrna1.p1	105841466
KWMTBOMO00720.mrna1.p1	101739914
KWMTBOMO00721.mrna1.p1	101739777
KWMTBOMO00722.mrna1.p1	101739633
KWMTBOMO00724.mrna1.p1	101739395
KWMTBOMO00726.mrna1.p1	101739119
KWMTBOMO00728.mrna1.p1	101738971
KWMTBOMO00730.mrna1.p1	101738839
KWMTBOMO00731.mrna1.p1	100174834
KWMTBOMO00733.mrna1.p1	101738165
KWMTBOMO00734.mrna1.p1	101737906
KWMTBOMO00735.mrna1.p1	101737624
KWMTBOMO00736.mrna1.p1	101737482
KWMTBOMO00737.mrna1.p1	101737055
KWMTBOMO00738.mrna1.p1	101736796
KWMTBOMO00739.mrna1.p1	101736564
KWMTBOMO00740.mrna1.p1	101736313
KWMTBOMO00744.mrna1.p1	101742977
KWMTBOMO00748.mrna1.p1	101741961
KWMTBOMO00752.mrna1.p1	119629585
KWMTBOMO00753.mrna1.p1	101740390
KWMTBOMO00754.mrna1.p1	101740523
KWMTBOMO00755.mrna1.p1	101740664
KWMTBOMO00756.mrna1.p1	101739706
KWMTBOMO00757.mrna1.p1	101739848
KWMTBOMO00758.mrna1.p1	101739985
KWMTBOMO00759.mrna1.p1	101740255
KWMTBOMO00762.mrna1.p1	100141508
KWMTBOMO00764.mrna1.p1	693018
KWMTBOMO00765.mrna1.p1	101740521
KWMTBOMO00766.mrna1.p1	101740806
KWMTBOMO00767.mrna1.p1	101740949
KWMTBOMO00770.mrna1.p1	101742521
KWMTBOMO00771.mrna1.p1	101742812
KWMTBOMO00773.mrna1.p1	101742080
KWMTBOMO00774.mrna1.p1	101743380
KWMTBOMO00775.mrna1.p1	101743522
KWMTBOMO00776.mrna1.p1	101743658
KWMTBOMO00780.mrna1.p1	101742371
KWMTBOMO00782.mrna1.p1	101742612
KWMTBOMO00783.mrna1.p1	692980
KWMTBOMO00784.mrna1.p1	101742758
KWMTBOMO00785.mrna1.p1	101743957
KWMTBOMO00786.mrna1.p1	693069
KWMTBOMO00788.mrna1.p1	100653407
KWMTBOMO00792.mrna1.p1	733009
KWMTBOMO00793.mrna1.p1	101743807
KWMTBOMO00794.mrna1.p1	732899
KWMTBOMO00799.mrna1.p1	101744534
KWMTBOMO00800.mrna1.p1	101744680
KWMTBOMO00801.mrna1.p1	101744105
KWMTBOMO00802.mrna1.p1	101744246
KWMTBOMO00808.mrna1.p1	101744965
KWMTBOMO00812.mrna1.p1	105842573
KWMTBOMO00822.mrna1.p1	101745115
KWMTBOMO00823.mrna1.p1	101744964
KWMTBOMO00824.mrna1.p1	101745114
KWMTBOMO00826.mrna1.p1	101745264
KWMTBOMO00827.mrna1.p1	101745637
KWMTBOMO00828.mrna1.p1	101745786
KWMTBOMO00829.mrna1.p1	692562
KWMTBOMO00834.mrna1.p1	101746268
KWMTBOMO00836.mrna1.p1	101746597
KWMTBOMO00837.mrna1.p1	101746822
KWMTBOMO00838.mrna1.p1	692699
KWMTBOMO00839.mrna1.p1	732878
KWMTBOMO00840.mrna1.p1	101745843
KWMTBOMO00841.mrna1.p1	101735440
KWMTBOMO00842.mrna1.p1	101741327
KWMTBOMO00843.mrna1.p1	101746269
KWMTBOMO00844.mrna1.p1	101735576
KWMTBOMO00853.mrna1.p1	101735981
KWMTBOMO00854.mrna1.p1	101746683
KWMTBOMO00864.mrna1.p1	119629414
KWMTBOMO00867.mrna1.p1	101736342
KWMTBOMO00868.mrna1.p1	101736464
KWMTBOMO00874.mrna1.p1	733136
KWMTBOMO00881.mrna1.p1	100415789
KWMTBOMO00883.mrna1.p1	101747230
KWMTBOMO00890.mrna1.p1	101737886
KWMTBOMO00892.mrna1.p1	100379494
KWMTBOMO00896.mrna1.p1	100379493
KWMTBOMO00897.mrna1.p1	100379492
KWMTBOMO00900.mrna1.p1	101738020
KWMTBOMO00910.mrna1.p1	101738281
KWMTBOMO00913.mrna1.p1	101738552
KWMTBOMO00915.mrna1.p1	100307015
KWMTBOMO00916.mrna1.p1	101735384
KWMTBOMO00919.mrna1.p1	100862842
KWMTBOMO00922.mrna1.p1	692547
KWMTBOMO00928.mrna1.p1	101736498
KWMTBOMO00930.mrna1.p1	101739762
KWMTBOMO00938.mrna1.p1	101740161
KWMTBOMO00939.mrna1.p1	101740031
KWMTBOMO00942.mrna1.p1	101740389
KWMTBOMO00943.mrna1.p1	101736637
KWMTBOMO00947.mrna1.p1	105842586
KWMTBOMO00948.mrna1.p1	101741323
KWMTBOMO00952.mrna1.p1	101741786
KWMTBOMO00953.mrna1.p1	101736907
KWMTBOMO00962.mrna1.p1	101746904
KWMTBOMO00964.mrna1.p1	101747037
KWMTBOMO00965.mrna1.p1	101746764
KWMTBOMO00967.mrna1.p1	110385293
KWMTBOMO00974.mrna1.p1	692689
KWMTBOMO00978.mrna1.p1	101736762
KWMTBOMO00979.mrna1.p1	101746290
KWMTBOMO00980.mrna1.p1	110385294
KWMTBOMO00981.mrna1.p1	101746426
KWMTBOMO00982.mrna1.p1	101737155
KWMTBOMO00983.mrna1.p1	101737300
KWMTBOMO00984.mrna1.p1	101746566
KWMTBOMO00985.mrna1.p1	101746802
KWMTBOMO00986.mrna1.p1	101746943
KWMTBOMO00987.mrna1.p1	101747076
KWMTBOMO00990.mrna1.p1	101735380
KWMTBOMO00993.mrna1.p1	101737583
KWMTBOMO00994.mrna1.p1	101735745
KWMTBOMO00995.mrna1.p1	101735876
KWMTBOMO01000.mrna1.p1	101737726
KWMTBOMO01002.mrna1.p1	101737862
KWMTBOMO01006.mrna1.p1	101736478
KWMTBOMO01011.mrna1.p1	101738727
KWMTBOMO01016.mrna1.p1	101745514
KWMTBOMO01018.mrna1.p1	101745658
KWMTBOMO01020.mrna1.p1	101737985
KWMTBOMO01021.mrna1.p1	101746093
KWMTBOMO01022.mrna1.p1	101738199
KWMTBOMO01024.mrna1.p1	101736238
KWMTBOMO01026.mrna1.p1	101738215
KWMTBOMO01027.mrna1.p1	101746237
KWMTBOMO01028.mrna1.p1	100037437
KWMTBOMO01029.mrna1.p1	101738432
KWMTBOMO01031.mrna1.p1	101738563
KWMTBOMO01034.mrna1.p1	101746655
KWMTBOMO01035.mrna1.p1	101738789
KWMTBOMO01036.mrna1.p1	101739065
KWMTBOMO01037.mrna1.p1	101738925
KWMTBOMO01039.mrna1.p1	100500750
KWMTBOMO01041.mrna1.p1	101739296
KWMTBOMO01042.mrna1.p1	101746935
KWMTBOMO01043.mrna1.p2	101739441
KWMTBOMO01045.mrna1.p1	101739724
KWMTBOMO01046.mrna1.p1	101739864
KWMTBOMO01047.mrna1.p1	101740129
KWMTBOMO01048.mrna1.p1	101739997
KWMTBOMO01049.mrna1.p1	101740268
KWMTBOMO01050.mrna1.p1	101747067
KWMTBOMO01054.mrna1.p1	101740631
KWMTBOMO01055.mrna1.p1	693066
KWMTBOMO01056.mrna1.p1	101740771
KWMTBOMO01057.mrna1.p1	101740910
KWMTBOMO01062.mrna1.p1	101741053
KWMTBOMO01063.mrna1.p1	100126162
KWMTBOMO01064.mrna1.p1	692732
KWMTBOMO01065.mrna1.p1	101741200
KWMTBOMO01068.mrna1.p1	100101149
KWMTBOMO01070.mrna1.p1	101741422
KWMTBOMO01071.mrna1.p1	101741560
KWMTBOMO01072.mrna1.p1	101735413
KWMTBOMO01073.mrna1.p1	101735547
KWMTBOMO01074.mrna1.p1	692909
KWMTBOMO01076.mrna1.p1	692855
KWMTBOMO01078.mrna1.p1	110384829
KWMTBOMO01079.mrna1.p1	101742147
KWMTBOMO01082.mrna1.p1	100127046
KWMTBOMO01083.mrna1.p1	100037439
KWMTBOMO01084.mrna1.p1	101742293
KWMTBOMO01085.mrna1.p1	101742440
KWMTBOMO01086.mrna1.p1	101742584
KWMTBOMO01087.mrna1.p1	101742723
KWMTBOMO01088.mrna1.p1	101735829
KWMTBOMO01089.mrna1.p1	101743212
KWMTBOMO01090.mrna1.p1	101736087
KWMTBOMO01095.mrna1.p1	101743670
KWMTBOMO01096.mrna1.p1	101736753
KWMTBOMO01097.mrna1.p1	101736879
KWMTBOMO01103.mrna1.p1	105841299
KWMTBOMO01104.mrna1.p1	110384836
KWMTBOMO01105.mrna1.p1	101737013
KWMTBOMO01112.mrna1.p1	101737431
KWMTBOMO01113.mrna1.p1	101737572
KWMTBOMO01114.mrna1.p1	101744256
KWMTBOMO01115.mrna1.p1	101744452
KWMTBOMO01116.mrna1.p1	101744695
KWMTBOMO01121.mrna1.p1	101737853
KWMTBOMO01122.mrna1.p1	101745220
KWMTBOMO01123.mrna1.p1	101745369
KWMTBOMO01128.mrna1.p1	101743030
KWMTBOMO01131.mrna1.p1	693075
KWMTBOMO01132.mrna1.p1	101740728
KWMTBOMO01133.mrna1.p1	101736847
KWMTBOMO01134.mrna1.p1	101736976
KWMTBOMO01136.mrna1.p1	101737106
KWMTBOMO01137.mrna1.p1	119630430
KWMTBOMO01139.mrna1.p1	101741153
KWMTBOMO01140.mrna1.p1	101737397
KWMTBOMO01141.mrna1.p1	101741433
KWMTBOMO01142.mrna1.p1	101737539
KWMTBOMO01143.mrna1.p1	101737684
KWMTBOMO01147.mrna1.p1	101737820
KWMTBOMO01148.mrna1.p1	692968
KWMTBOMO01153.mrna1.p1	101737952
KWMTBOMO01154.mrna1.p1	101738086
KWMTBOMO01155.mrna1.p1	101738343
KWMTBOMO01156.mrna1.p1	101738481
KWMTBOMO01157.mrna1.p1	101738609
KWMTBOMO01158.mrna1.p1	110385211
KWMTBOMO01162.mrna1.p1	100862838
KWMTBOMO01171.mrna1.p1	101739170
KWMTBOMO01172.mrna1.p1	101739305
KWMTBOMO01173.mrna1.p1	101742299
KWMTBOMO01180.mrna1.p1	101740056
KWMTBOMO01182.mrna1.p1	692786
KWMTBOMO01186.mrna1.p1	101740456
KWMTBOMO01187.mrna1.p1	101740589
KWMTBOMO01188.mrna1.p1	101742735
KWMTBOMO01189.mrna1.p1	101747176
KWMTBOMO01203.mrna1.p1	100174918
KWMTBOMO01204.mrna1.p1	101741350
KWMTBOMO01206.mrna1.p1	101741012
KWMTBOMO01207.mrna1.p3	119630579
KWMTBOMO01219.mrna1.p1	101741488
KWMTBOMO01221.mrna1.p1	101739560
KWMTBOMO01226.mrna1.p1	101743701
KWMTBOMO01229.mrna1.p1	101743420
KWMTBOMO01230.mrna1.p1	101743279
KWMTBOMO01232.mrna1.p1	101743136
KWMTBOMO01233.mrna1.p1	101742993
KWMTBOMO01235.mrna1.p1	101742703
KWMTBOMO01236.mrna1.p1	101739146
KWMTBOMO01237.mrna1.p1	110386171
KWMTBOMO01247.mrna1.p1	101742560
KWMTBOMO01258.mrna1.p1	101742274
KWMTBOMO01259.mrna1.p1	101738588
KWMTBOMO01260.mrna1.p1	732982
KWMTBOMO01263.mrna1.p1	100862800
KWMTBOMO01265.mrna1.p1	101741981
KWMTBOMO01266.mrna1.p1	101741552
KWMTBOMO01267.mrna1.p1	119630310
KWMTBOMO01268.mrna1.p1	119630552
KWMTBOMO01269.mrna1.p1	100174827
KWMTBOMO01270.mrna1.p1	101741830
KWMTBOMO01271.mrna1.p1	101741544
KWMTBOMO01273.mrna1.p1	692668
KWMTBOMO01274.mrna1.p1	101741265
KWMTBOMO01277.mrna1.p1	101738057
KWMTBOMO01280.mrna1.p1	101740517
KWMTBOMO01286.mrna1.p1	101740113
KWMTBOMO01287.mrna1.p1	101737926
KWMTBOMO01297.mrna1.p1	101739473
KWMTBOMO01298.mrna1.p1	119630350
KWMTBOMO01300.mrna1.p1	101739090
KWMTBOMO01302.mrna1.p1	101738817
KWMTBOMO01309.mrna1.p1	110386645
KWMTBOMO01312.mrna1.p1	692958
KWMTBOMO01317.mrna1.p1	101737226
KWMTBOMO01325.mrna1.p1	101737513
KWMTBOMO01330.mrna1.p1	101737374
KWMTBOMO01331.mrna1.p1	101737123
KWMTBOMO01332.mrna1.p1	101737123
KWMTBOMO01333.mrna1.p1	101736729
KWMTBOMO01334.mrna1.p1	101736586
KWMTBOMO01335.mrna1.p1	692940
KWMTBOMO01336.mrna1.p1	101736686
KWMTBOMO01337.mrna1.p1	101736548
KWMTBOMO01339.mrna1.p1	119631083
KWMTBOMO01344.mrna1.p1	101736064
KWMTBOMO01345.mrna1.p1	101735939
KWMTBOMO01346.mrna1.p1	101735811
KWMTBOMO01347.mrna1.p1	101735666
KWMTBOMO01351.mrna1.p1	101746919
KWMTBOMO01352.mrna1.p1	101747049
KWMTBOMO01354.mrna1.p1	101735893
KWMTBOMO01356.mrna1.p1	119630503
KWMTBOMO01360.mrna1.p1	101746638
KWMTBOMO01361.mrna1.p1	732883
KWMTBOMO01362.mrna1.p1	101746212
KWMTBOMO01368.mrna1.p1	692825
KWMTBOMO01369.mrna1.p1	101735487
KWMTBOMO01370.mrna1.p1	101745440
KWMTBOMO01375.mrna1.p1	101745050
KWMTBOMO01376.mrna1.p1	101744815
KWMTBOMO01382.mrna1.p1	101744286
KWMTBOMO01387.mrna1.p1	101743700
KWMTBOMO01389.mrna1.p1	105842405
KWMTBOMO01394.mrna1.p1	100126868
KWMTBOMO01396.mrna1.p1	101743092
KWMTBOMO01398.mrna1.p1	692479
KWMTBOMO01401.mrna1.p1	101742559
KWMTBOMO01402.mrna1.p1	101742413
KWMTBOMO01403.mrna1.p1	101746590
KWMTBOMO01405.mrna1.p1	101746308
KWMTBOMO01407.mrna1.p1	101742077
KWMTBOMO01408.mrna1.p1	100302604
KWMTBOMO01409.mrna1.p1	100216502
KWMTBOMO01411.mrna1.p1	101741933
KWMTBOMO01412.mrna1.p1	101741784
KWMTBOMO01413.mrna1.p1	100302605
KWMTBOMO01414.mrna1.p1	101741264
KWMTBOMO01416.mrna1.p1	119630752
KWMTBOMO01417.mrna1.p1	101740981
KWMTBOMO01421.mrna1.p1	101745882
KWMTBOMO01422.mrna1.p1	101740837
KWMTBOMO01423.mrna1.p1	101740562
KWMTBOMO01425.mrna1.p1	101740340
KWMTBOMO01427.mrna1.p1	101745584
KWMTBOMO01430.mrna1.p1	101740208
KWMTBOMO01432.mrna1.p1	101745301
